transaction_id,transaction_date,year,quarter,month,month_num,day_of_week,customer_id,customer_segment,region,city,product_category,product_name,quantity,unit_price,gross_revenue,discount_rate,discount_amount,net_revenue,cost,profit,sales_channel,sales_rep,order_status,profit_margin,revenue_per_unit,is_high_value,days_since_start
TXN000001,2022-08-17,2022,Q3,August,8,Wednesday,CUST3286,Enterprise,South,Brighton,Electronics,USB-C Hub,7,967.64,6773.48,0.0,0.0,6773.48,3153.67,3619.81,Online,Rep_17,Completed,53.44,967.64,True,228
TXN000002,2023-02-12,2023,Q1,February,2,Sunday,CUST1106,Smb,West,Plymouth,Software,Design Pro,6,203.11,1218.66,0.01,12.19,1206.47,758.93,447.54,Retail,Rep_04,Completed,37.09,201.08,False,407
TXN000003,2022-07-18,2022,Q3,July,7,Monday,CUST8527,Enterprise,East,Norwich,Stationery,Sticky Notes,23,17.09,393.07,0.12,47.17,345.9,202.54,143.36,Retail,Rep_12,Completed,41.45,15.04,False,198
TXN000004,2022-05-23,2022,Q2,May,5,Monday,CUST4814,Enterprise,East,Norwich,Electronics,Wireless Mouse,45,561.37,25261.65,0.13,3284.01,21977.64,9863.48,12114.16,Retail,Rep_12,Completed,55.12,488.39,True,142
TXN000005,2023-07-01,2023,Q3,July,7,Saturday,CUST3677,Government,South,Brighton,Electronics,Webcam HD,5,550.93,2754.65,0.03,82.64,2672.01,1328.75,1343.26,Retail,Rep_02,Completed,50.27,534.4,False,546
TXN000006,2022-03-07,2022,Q1,March,3,Monday,CUST4456,Individual,East,Norwich,Stationery,Paper Ream,4,68.99,275.96,0.04,11.04,264.92,157.06,107.86,Direct Sales,Rep_05,Completed,40.71,66.23,False,65
TXN000007,2023-05-21,2023,Q2,May,5,Sunday,CUST6930,Smb,West,Exeter,Stationery,Stapler,4,55.86,223.44,0.04,8.94,214.5,141.21,73.29,Direct Sales,Rep_05,Completed,34.17,53.62,False,505
TXN000008,2024-05-14,2024,Q2,May,5,Tuesday,CUST9669,Individual,West,Exeter,Electronics,Bluetooth Headphones,1,1084.37,1084.37,0.03,32.53,1051.84,590.18,461.66,Online,Rep_09,Completed,43.89,1051.84,False,864
TXN000009,2023-11-28,2023,Q4,November,11,Tuesday,CUST8433,Enterprise,West,Cardiff,Electronics,USB-C Hub,16,1463.45,30439.76,0.08,2435.18,28004.58,12095.83,15908.75,Partner,Rep_10,Completed,56.81,1750.29,True,696
TXN000010,2024-11-05,2024,Q4,November,11,Tuesday,CUST9837,Enterprise,East,Cambridge,Furniture,Standing Desk,12,467.59,7294.4,0.14,1021.22,6273.18,4162.99,2110.19,Partner,Rep_10,Completed,33.64,522.76,True,1039
TXN000011,2023-05-09,2023,Q2,May,5,Tuesday,CUST9727,Smb,West,Birmingham,Electronics,Laptop Pro,19,1057.68,20095.92,0.01,200.96,19894.96,11107.4,8787.56,Direct Sales,Rep_20,Completed,44.17,1047.1,True,493
TXN000012,2023-03-10,2023,Q1,March,3,Friday,CUST8177,Government,West,Plymouth,Furniture,Bookshelf,1,311.14,311.14,0.05,15.56,295.58,170.4,125.18,Online,Rep_08,Completed,42.35,295.58,False,433
TXN000013,2022-01-15,2022,Q1,January,1,Saturday,CUST1514,Individual,South,London,Electronics,Laptop Pro,3,868.4,2605.2,0.03,78.16,2527.04,1173.23,1353.81,Online,Rep_05,Completed,53.57,842.35,False,14
TXN000014,2024-08-26,2024,Q3,August,8,Monday,CUST2545,Enterprise,West,Cardiff,Furniture,Filing Cabinet,31,380.29,11788.99,0.07,825.23,10963.76,6783.53,4180.23,Retail,Rep_04,Completed,38.13,353.67,True,968
